experiment_id,batch_id,time_min,temperature_c,ph,concentration_mg_L,dissolved_oxygen_%,absorbance_600nm,growth_rate,foam_level
EXP_001,BATCH_A,1170,36.89,6.21,132.79,35.73,2.659,0.181,5
EXP_001,BATCH_A,1185,36.92,6.2,134.63,40.56,2.689,0.016,1
EXP_001,BATCH_A,1200,36.86,6.28,133.35,44.46,2.663,0.006,2
EXP_001,BATCH_A,1215,36.9,6.17,134.85,35.3,2.69,0.147,4
EXP_001,BATCH_A,1230,37.07,6.24,134.43,36.17,2.692,0.154,3
EXP_001,BATCH_A,1245,36.89,6.16,136.23,40.56,2.721,0.0,2
EXP_001,BATCH_A,1260,37.11,6.21,133.36,47.24,2.672,0.0,1
EXP_001,BATCH_A,1275,36.88,6.25,133.64,43.06,2.682,0.032,2
EXP_001,BATCH_A,1290,36.92,6.13,134.5,36.03,2.678,0.195,5
EXP_001,BATCH_A,1305,37.04,6.22,136.11,31.65,2.721,0.267,6
EXP_001,BATCH_A,1320,36.93,6.14,136.54,45.24,2.732,0.0,1
EXP_001,BATCH_A,1335,37.0,6.22,136.03,43.42,2.711,0.0,2
EXP_001,BATCH_A,1350,36.86,6.2,135.78,42.53,2.707,0.0,1
EXP_001,BATCH_A,1365,37.03,6.19,135.03,40.82,2.708,0.067,2
EXP_001,BATCH_A,1380,37.04,6.32,136.21,43.72,2.721,0.0,1
EXP_001,BATCH_A,1395,36.99,6.13,134.97,45.48,2.682,0.0,1
EXP_001,BATCH_A,1410,37.04,6.19,134.29,29.89,2.696,0.282,7
EXP_001,BATCH_A,1425,37.0,6.14,136.2,29.52,2.738,0.255,6
EXP_001,BATCH_A,1440,36.93,6.2,136.58,43.18,2.747,0.0,1
EXP_001,BATCH_A,1455,36.85,6.32,134.52,45.0,2.705,0.0,1
EXP_001,BATCH_A,1470,36.82,6.14,135.74,36.93,2.73,0.058,2
EXP_001,BATCH_A,1485,36.91,6.13,136.01,43.94,2.717,0.0,2
EXP_001,BATCH_A,1500,37.08,6.26,135.95,43.4,2.711,0.0,1
EXP_001,BATCH_A,1515,37.04,6.17,135.47,36.43,2.706,0.151,4
EXP_001,BATCH_A,1530,36.8,6.21,136.19,38.71,2.741,0.137,4
EXP_001,BATCH_A,1545,37.16,6.13,136.99,40.97,2.734,0.0,1
EXP_001,BATCH_A,1560,36.9,6.31,135.0,41.81,2.7,0.0,2
EXP_001,BATCH_A,1575,37.03,6.22,136.0,37.23,2.71,0.121,3
EXP_001,BATCH_A,1590,36.96,6.22,135.51,41.6,2.724,0.0,1
EXP_001,BATCH_A,1605,36.93,6.23,134.62,44.34,2.697,0.0,2
EXP_001,BATCH_A,1620,36.91,6.29,134.84,41.94,2.697,0.046,1
EXP_001,BATCH_A,1635,36.74,6.12,135.72,38.38,2.706,0.105,3
EXP_001,BATCH_A,1650,36.99,6.22,135.89,32.53,2.718,0.263,7
EXP_001,BATCH_A,1665,37.01,6.16,137.78,42.96,2.759,0.0,1
EXP_001,BATCH_A,1680,36.92,6.1,134.11,44.26,2.705,0.0,1
EXP_001,BATCH_A,1695,37.05,6.24,134.35,44.03,2.703,0.0,2
EXP_001,BATCH_A,1710,37.13,6.24,134.43,40.39,2.693,0.11,3
EXP_001,BATCH_A,1725,36.8,6.19,136.05,44.45,2.725,0.0,1
EXP_001,BATCH_A,1740,36.95,6.23,134.59,44.01,2.685,0.0,1
EXP_001,BATCH_A,1755,37.08,6.1,135.4,29.46,2.716,0.249,6
EXP_001,BATCH_A,1770,36.99,6.32,135.8,34.34,2.735,0.2,5
EXP_001,BATCH_A,1785,37.0,6.12,137.09,44.05,2.756,0.0,1
EXP_001,BATCH_A,1800,37.02,6.13,135.97,45.26,2.721,0.0,1
EXP_001,BATCH_A,1815,37.0,6.22,136.43,43.96,2.721,0.0,1
EXP_001,BATCH_A,1830,36.91,6.15,134.55,45.11,2.702,0.006,1
EXP_001,BATCH_A,1845,37.01,6.17,135.67,34.01,2.722,0.176,4
EXP_001,BATCH_A,1860,36.99,6.2,136.42,41.42,2.737,0.0,1
EXP_001,BATCH_A,1875,37.02,6.21,134.18,43.17,2.699,0.0,2
EXP_001,BATCH_A,1890,36.92,6.21,136.15,39.48,2.714,0.089,2
EXP_001,BATCH_A,1905,37.12,6.26,136.67,43.47,2.717,0.0,2
EXP_001,BATCH_A,1920,37.18,6.17,135.55,42.62,2.705,0.086,4
EXP_001,BATCH_A,1935,37.05,6.13,136.61,43.69,2.734,0.026,1
EXP_001,BATCH_A,1950,36.96,6.22,135.64,43.52,2.71,0.019,2
EXP_001,BATCH_A,1965,37.11,6.21,137.56,45.74,2.738,0.0,2
EXP_001,BATCH_A,1980,36.96,6.21,133.38,42.9,2.677,0.0,1
EXP_001,BATCH_A,1995,37.07,6.12,137.07,36.84,2.732,0.161,4
EXP_001,BATCH_A,2010,37.05,6.24,134.74,41.85,2.709,0.0,1
EXP_001,BATCH_A,2025,36.92,6.22,134.8,42.4,2.697,0.0,1
EXP_001,BATCH_A,2040,37.02,6.15,134.72,42.15,2.693,0.0,1
EXP_001,BATCH_A,2055,37.02,6.28,134.14,38.43,2.677,0.119,4
EXP_001,BATCH_A,2070,36.97,6.17,134.99,34.31,2.717,0.193,3
EXP_001,BATCH_A,2085,36.97,6.24,135.52,36.03,2.715,0.193,5
EXP_001,BATCH_A,2100,36.95,6.14,137.86,39.88,2.755,0.04,2
EXP_001,BATCH_A,2115,37.1,6.17,136.78,46.09,2.724,0.0,1
EXP_001,BATCH_A,2130,37.02,6.25,133.06,43.26,2.667,0.0,2
EXP_001,BATCH_A,2145,37.0,6.12,135.94,37.73,2.711,0.151,4
EXP_001,BATCH_A,2160,37.02,6.23,135.4,42.74,2.697,0.039,2
EXP_001,BATCH_A,2175,37.11,6.09,136.31,37.66,2.719,0.198,5
EXP_001,BATCH_A,2190,37.04,6.18,136.62,42.29,2.737,0.0,2
EXP_001,BATCH_A,2205,36.99,6.16,136.56,39.93,2.713,0.045,2
EXP_001,BATCH_A,2220,37.12,6.26,137.33,37.68,2.746,0.146,4
EXP_001,BATCH_A,2235,37.15,6.19,136.12,45.51,2.743,0.0,1
EXP_001,BATCH_A,2250,37.05,6.17,138.62,41.74,2.745,0.0,1
EXP_001,BATCH_A,2265,37.03,6.24,135.65,42.64,2.724,0.0,1
EXP_001,BATCH_A,2280,37.01,6.28,134.54,43.41,2.675,0.0,1
EXP_001,BATCH_A,2295,36.89,6.15,133.74,26.52,2.689,0.376,8
EXP_001,BATCH_A,2310,36.91,6.24,137.83,35.2,2.75,0.174,5
EXP_001,BATCH_A,2325,37.15,6.26,136.5,43.99,2.723,0.0,1
EXP_001,BATCH_A,2340,37.01,6.29,134.65,42.36,2.699,0.059,2
EXP_001,BATCH_A,2355,36.96,6.23,137.46,42.38,2.735,0.0,1
EXP_001,BATCH_A,2370,36.98,6.24,134.29,45.72,2.676,0.0,1
EXP_001,BATCH_A,2385,37.03,6.21,136.53,20.41,2.72,0.447,10
EXP_001,BATCH_A,2400,37.05,6.07,137.02,43.54,2.765,0.0,1
EXP_001,BATCH_A,2415,36.66,6.21,135.09,39.46,2.696,0.079,2
EXP_001,BATCH_A,2430,36.99,6.16,138.75,40.95,2.781,0.007,1
EXP_001,BATCH_A,2445,37.07,6.21,135.63,44.01,2.698,0.0,2
EXP_001,BATCH_A,2460,36.94,6.23,134.16,36.99,2.675,0.153,3
EXP_001,BATCH_A,2475,36.98,6.3,136.74,36.94,2.728,0.133,4
EXP_001,BATCH_A,2490,37.32,6.25,135.34,45.11,2.701,0.0,1
EXP_001,BATCH_A,2505,37.01,6.23,136.03,44.4,2.695,0.0,1
EXP_001,BATCH_A,2520,36.95,6.24,134.42,45.87,2.689,0.0,1
EXP_001,BATCH_B,0,36.99,7.24,1.58,98.46,0.045,0.0,1
EXP_001,BATCH_B,15,36.93,7.22,2.75,98.39,0.045,0.0,1
EXP_001,BATCH_B,30,37.02,7.26,1.65,96.4,0.045,0.0,1
EXP_001,BATCH_B,45,36.85,7.3,1.81,99.01,0.045,0.0,1
EXP_001,BATCH_B,60,37.01,7.16,2.89,95.09,0.045,0.0,2
EXP_001,BATCH_B,75,37.02,7.23,1.72,96.49,0.045,0.037,2
EXP_001,BATCH_B,90,37.22,7.29,2.33,100.0,0.052,0.0,1
EXP_001,BATCH_B,105,36.95,7.26,2.37,97.0,0.045,0.0,2
EXP_001,BATCH_B,120,37.05,7.24,3.17,96.2,0.045,0.0,1
EXP_001,BATCH_B,135,36.93,7.22,1.97,94.98,0.045,0.072,3
EXP_001,BATCH_B,150,37.12,7.21,2.91,94.52,0.059,0.0,2
EXP_001,BATCH_B,165,36.96,7.25,2.42,98.78,0.045,0.0,2
EXP_001,BATCH_B,180,37.08,7.29,1.54,96.04,0.045,0.0,1
EXP_001,BATCH_B,195,37.26,7.2,2.46,98.9,0.045,0.0,1
EXP_001,BATCH_B,210,37.01,7.28,2.48,95.54,0.045,0.0,2
EXP_001,BATCH_B,225,37.12,7.3,1.63,97.9,0.045,0.0,1
EXP_001,BATCH_B,240,37.06,7.28,2.16,95.09,0.045,0.023,2
EXP_001,BATCH_B,255,37.04,7.24,2.81,94.76,0.05,0.032,2
EXP_001,BATCH_B,270,37.01,7.19,2.58,98.37,0.051,0.0,1
EXP_001,BATCH_B,285,37.15,7.2,1.95,98.87,0.045,0.0,1
EXP_001,BATCH_B,300,37.13,7.2,2.49,77.55,0.045,0.393,8
EXP_001,BATCH_B,315,37.09,7.14,5.4,89.67,0.124,0.124,4
EXP_001,BATCH_B,330,36.87,7.26,3.85,98.47,0.07,0.0,1
EXP_001,BATCH_B,345,37.11,7.22,6.24,68.55,0.112,0.489,10
EXP_001,BATCH_B,360,37.15,7.22,7.9,80.48,0.168,0.299,7
EXP_001,BATCH_B,375,36.86,7.28,8.23,83.58,0.172,0.207,5
EXP_001,BATCH_B,390,37.21,7.2,10.35,74.69,0.209,0.319,7
EXP_001,BATCH_B,405,36.87,7.15,11.42,81.3,0.235,0.281,7
EXP_001,BATCH_B,420,37.08,7.18,13.4,65.96,0.265,0.535,10
EXP_001,BATCH_B,435,36.96,7.04,17.31,71.47,0.342,0.464,10
EXP_001,BATCH_B,450,37.02,7.07,18.21,63.72,0.358,0.515,10
EXP_001,BATCH_B,465,37.02,7.11,22.05,58.71,0.445,0.594,10
EXP_001,BATCH_B,480,37.1,7.02,23.06,58.52,0.477,0.61,10
EXP_001,BATCH_B,495,36.96,7.06,28.41,47.22,0.567,0.864,10
EXP_001,BATCH_B,510,36.93,7.03,32.54,43.74,0.65,0.81,10
EXP_001,BATCH_B,525,37.06,6.92,36.66,37.67,0.729,0.936,10
EXP_001,BATCH_B,540,36.98,6.95,41.53,37.24,0.837,0.899,10
EXP_001,BATCH_B,555,36.98,6.89,45.42,22.06,0.909,1.174,10
EXP_001,BATCH_B,570,36.91,6.81,53.26,5.11,1.072,1.382,10
EXP_001,BATCH_B,585,37.13,6.82,59.26,28.54,1.186,0.941,10
EXP_001,BATCH_B,600,37.0,6.73,62.88,22.06,1.26,1.004,10
EXP_001,BATCH_B,615,37.06,6.76,69.79,0.0,1.386,1.497,10
EXP_001,BATCH_B,630,37.05,6.56,77.53,0.0,1.559,1.421,10
EXP_001,BATCH_B,645,37.05,6.55,83.77,0.0,1.671,1.361,10
EXP_001,BATCH_B,660,36.9,6.48,92.05,0.0,1.832,1.38,10
EXP_001,BATCH_B,675,36.9,6.52,97.72,0.0,1.947,1.193,10
EXP_001,BATCH_B,690,36.97,6.45,103.11,0.0,2.07,1.419,10
EXP_001,BATCH_B,705,36.9,6.33,111.55,0.0,2.23,1.114,10
EXP_001,BATCH_B,720,36.98,6.39,115.03,0.75,2.293,1.023,10
EXP_001,BATCH_B,735,37.09,6.29,122.47,0.0,2.435,0.985,10
EXP_001,BATCH_B,750,37.01,6.24,124.54,10.05,2.49,0.773,10
EXP_001,BATCH_B,765,37.06,6.14,130.36,0.0,2.59,1.027,10
EXP_001,BATCH_B,780,36.99,6.1,134.87,7.91,2.695,0.715,10
EXP_001,BATCH_B,795,37.14,6.1,135.98,15.12,2.733,0.538,10
EXP_001,BATCH_B,810,37.15,6.17,140.36,0.49,2.803,0.86,10
EXP_001,BATCH_B,825,37.05,6.14,145.21,8.22,2.905,0.603,10
EXP_001,BATCH_B,840,36.88,6.06,145.58,16.24,2.924,0.457,9
EXP_001,BATCH_B,855,36.86,6.03,150.04,12.32,2.996,0.537,10
EXP_001,BATCH_B,870,36.87,6.05,150.99,18.01,3.031,0.355,9
EXP_001,BATCH_B,885,37.09,6.03,152.95,15.31,3.067,0.432,10
EXP_001,BATCH_B,900,36.94,6.02,155.08,13.56,3.117,0.453,10
EXP_001,BATCH_B,915,37.04,5.95,157.41,22.06,3.158,0.254,6
EXP_001,BATCH_B,930,36.97,6.04,158.97,29.62,3.168,0.134,4
EXP_001,BATCH_B,945,36.94,6.03,159.27,29.57,3.184,0.086,2
EXP_001,BATCH_B,960,37.15,5.95,159.51,32.55,3.185,0.087,2
EXP_001,BATCH_B,975,37.01,5.97,160.49,27.87,3.202,0.112,4
EXP_001,BATCH_B,990,36.91,5.91,160.33,27.86,3.208,0.157,3
EXP_001,BATCH_B,1005,36.95,5.95,161.43,28.45,3.233,0.09,2
EXP_001,BATCH_B,1020,36.98,5.96,160.91,34.05,3.226,0.0,1
EXP_001,BATCH_B,1035,37.15,6.02,161.5,33.22,3.228,0.08,3
EXP_001,BATCH_B,1050,37.09,5.96,161.54,30.09,3.242,0.035,1
EXP_001,BATCH_B,1065,36.92,6.02,162.21,29.65,3.235,0.081,3
EXP_001,BATCH_B,1080,37.04,5.93,162.85,17.45,3.258,0.272,7
EXP_001,BATCH_B,1095,36.92,5.94,165.04,18.49,3.29,0.299,7
EXP_001,BATCH_B,1110,37.07,5.84,165.53,26.02,3.318,0.131,4
EXP_001,BATCH_B,1125,36.94,5.89,165.45,33.65,3.316,0.0,1
EXP_001,BATCH_B,1140,37.0,5.95,164.12,30.12,3.273,0.0,1
EXP_001,BATCH_B,1155,37.12,5.94,162.06,33.93,3.253,0.006,2
EXP_001,BATCH_B,1170,37.15,5.98,163.47,20.89,3.275,0.219,6
EXP_001,BATCH_B,1185,36.94,5.92,164.32,28.5,3.297,0.094,3
EXP_001,BATCH_B,1200,36.98,5.88,164.1,28.46,3.293,0.053,2
EXP_001,BATCH_B,1215,37.05,5.99,164.64,27.64,3.308,0.099,3
EXP_001,BATCH_B,1230,37.0,5.94,165.12,34.82,3.313,0.0,1
EXP_001,BATCH_B,1245,37.07,5.94,165.36,33.43,3.296,0.0,2
EXP_001,BATCH_B,1260,36.99,5.94,164.91,29.6,3.3,0.059,2
EXP_001,BATCH_B,1275,37.14,5.96,165.25,33.41,3.308,0.001,1
EXP_001,BATCH_B,1290,37.11,5.93,165.73,31.73,3.3,0.0,1
EXP_001,BATCH_B,1305,36.95,6.01,162.61,34.61,3.268,0.0,1
EXP_001,BATCH_B,1320,37.02,5.92,165.58,33.43,3.298,0.0,1
EXP_001,BATCH_B,1335,37.07,5.91,162.63,31.76,3.261,0.032,1
EXP_001,BATCH_B,1350,36.92,5.94,164.45,31.29,3.304,0.0,1
EXP_001,BATCH_B,1365,36.98,6.0,163.79,31.9,3.261,0.0,1
EXP_001,BATCH_B,1380,37.09,5.97,164.57,35.37,3.277,0.009,1
EXP_001,BATCH_B,1395,36.94,5.99,163.04,31.39,3.263,0.081,3
EXP_001,BATCH_B,1410,36.98,6.04,165.58,29.12,3.293,0.084,3
EXP_001,BATCH_B,1425,36.95,5.99,164.24,33.81,3.279,0.0,1
EXP_001,BATCH_B,1440,36.91,5.88,165.19,31.26,3.291,0.011,1
EXP_001,BATCH_B,1455,36.99,5.97,162.97,34.04,3.282,0.0,1
EXP_001,BATCH_B,1470,36.98,5.91,164.74,28.67,3.281,0.137,4
EXP_001,BATCH_B,1485,37.05,5.96,165.81,32.6,3.309,0.0,1
EXP_001,BATCH_B,1500,37.06,5.9,162.62,34.0,3.238,0.0,1
EXP_001,BATCH_B,1515,36.87,5.96,163.37,21.78,3.265,0.236,5
EXP_001,BATCH_B,1530,36.98,5.95,164.41,29.45,3.285,0.103,3
EXP_001,BATCH_B,1545,37.0,5.84,164.8,21.65,3.285,0.131,4
EXP_001,BATCH_B,1560,37.0,5.91,165.77,32.16,3.311,0.044,1
EXP_001,BATCH_B,1575,37.06,6.04,163.97,29.89,3.294,0.0,1
EXP_001,BATCH_B,1590,36.98,5.91,164.45,25.54,3.306,0.155,4
EXP_001,BATCH_B,1605,36.92,5.94,165.29,31.09,3.325,0.0,1
EXP_001,BATCH_B,1620,36.96,6.01,164.72,34.02,3.287,0.0,1
EXP_001,BATCH_B,1635,36.92,5.95,164.46,35.59,3.278,0.0,1
EXP_001,BATCH_B,1650,37.02,5.93,163.35,25.13,3.267,0.129,5
EXP_001,BATCH_B,1665,37.03,5.91,165.75,23.9,3.304,0.214,5
EXP_001,BATCH_B,1680,37.02,5.92,165.54,31.76,3.31,0.015,1
EXP_001,BATCH_B,1695,36.93,5.92,165.43,34.55,3.307,0.0,2
EXP_001,BATCH_B,1710,37.05,5.89,164.43,35.8,3.29,0.0,1
EXP_001,BATCH_B,1725,37.01,5.89,165.85,17.13,3.299,0.249,6
EXP_001,BATCH_B,1740,36.98,5.92,167.39,33.88,3.339,0.0,1
EXP_001,BATCH_B,1755,36.89,5.92,163.94,34.03,3.276,0.0,1
EXP_001,BATCH_B,1770,37.12,5.88,164.75,25.23,3.297,0.15,3
EXP_001,BATCH_B,1785,36.88,5.91,165.19,33.15,3.306,0.0,1
EXP_001,BATCH_B,1800,37.07,5.9,164.17,33.22,3.292,0.0,2
EXP_001,BATCH_B,1815,36.97,5.93,164.42,33.91,3.298,0.005,1
EXP_001,BATCH_B,1830,36.99,5.92,165.21,25.24,3.293,0.177,4
EXP_001,BATCH_B,1845,36.93,6.01,166.39,31.51,3.333,0.0,1
EXP_001,BATCH_B,1860,37.0,5.94,164.89,29.96,3.29,0.0,2
EXP_001,BATCH_B,1875,36.91,5.89,164.88,26.96,3.302,0.055,2
EXP_001,BATCH_B,1890,36.97,6.02,165.74,32.89,3.301,0.0,1
EXP_001,BATCH_B,1905,36.98,5.9,163.3,31.24,3.269,0.036,1
EXP_001,BATCH_B,1920,37.0,5.93,165.78,31.84,3.308,0.0,1
EXP_001,BATCH_B,1935,37.06,5.88,162.35,34.56,3.253,0.0,1
EXP_001,BATCH_B,1950,36.91,5.94,162.29,31.28,3.232,0.0,1
EXP_001,BATCH_B,1965,36.84,5.87,163.45,23.55,3.253,0.168,4
EXP_001,BATCH_B,1980,37.0,6.04,162.7,25.34,3.266,0.158,4
EXP_001,BATCH_B,1995,37.05,5.98,163.51,27.67,3.285,0.077,2
EXP_001,BATCH_B,2010,37.06,5.87,163.7,32.26,3.281,0.0,1
EXP_001,BATCH_B,2025,37.01,5.84,163.59,31.51,3.284,0.0,1
EXP_001,BATCH_B,2040,36.98,6.03,163.55,34.08,3.267,0.0,1
EXP_002,BATCH_A,0,36.94,7.28,2.28,96.19,0.045,0.0,1
EXP_002,BATCH_A,15,36.89,7.3,2.26,96.2,0.045,0.0,1
EXP_002,BATCH_A,30,36.85,7.26,2.37,100.0,0.045,0.0,1
EXP_002,BATCH_A,45,37.03,7.33,2.83,97.48,0.045,0.0,1
EXP_002,BATCH_A,60,37.0,7.25,2.61,99.18,0.045,0.0,1
EXP_002,BATCH_A,75,36.81,7.31,1.92,97.57,0.045,0.0,1
EXP_002,BATCH_A,90,36.77,7.16,1.93,97.1,0.045,0.0,1
EXP_002,BATCH_A,105,37.06,7.31,3.31,98.93,0.045,0.0,1
EXP_002,BATCH_A,120,36.91,7.28,1.65,98.13,0.045,0.0,1
EXP_002,BATCH_A,135,37.14,7.27,2.17,95.04,0.045,0.0,1
EXP_002,BATCH_A,150,37.05,7.23,1.84,96.12,0.045,0.0,1
EXP_002,BATCH_A,165,36.98,7.25,2.41,100.0,0.045,0.0,1
EXP_002,BATCH_A,180,37.03,7.28,1.62,98.82,0.045,0.0,1
EXP_002,BATCH_A,195,36.85,7.27,2.64,99.85,0.045,0.0,1
EXP_002,BATCH_A,210,37.08,7.27,2.05,96.36,0.045,0.005,1
EXP_002,BATCH_A,225,36.97,7.09,1.48,98.91,0.046,0.0,1
EXP_002,BATCH_A,240,37.05,7.31,2.34,97.28,0.045,0.0,1
EXP_002,BATCH_A,255,37.01,7.22,2.19,96.87,0.045,0.008,1
EXP_002,BATCH_A,270,36.88,7.27,3.19,95.5,0.047,0.0,1
EXP_002,BATCH_A,285,36.95,7.31,2.31,99.76,0.045,0.0,1
EXP_002,BATCH_A,300,37.04,7.37,2.9,98.22,0.045,0.0,1
EXP_002,BATCH_A,315,37.15,7.32,1.8,95.9,0.045,0.0,1
EXP_002,BATCH_A,330,36.95,7.25,2.43,99.05,0.045,0.0,1
EXP_002,BATCH_A,345,37.02,7.3,2.91,93.04,0.045,0.069,2
EXP_002,BATCH_A,360,37.1,7.19,3.58,98.4,0.059,0.0,2
EXP_002,BATCH_A,375,37.03,7.3,2.27,96.49,0.045,0.01,2
EXP_002,BATCH_A,390,36.95,7.2,3.01,98.42,0.061,0.0,1
EXP_002,BATCH_A,405,37.06,7.22,2.62,85.09,0.045,0.276,6
